Punto de Ingreso	Número de Análisis	NUMERO_ANALISIS	Fecha de Análisis	Número de Boletín	Campo	Lote	Descripcion	Especie	Cosecha	Descripción	Contenido Proteico	Grado	Factor	Gastos de Análisis	Gluten	Punto de Ingreso	Número de Análisis	Rubro de Análisis	Porcentaje	Bonificación	Rebaja	Descripción
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	74				Total Danados
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	75				Trébol de Olor
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	84	1			Aptitud Panadera
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	3				Brotados
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	4				Calcinados
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	21				Gluten Humedo
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	24				Granos Ardidos y Danados por Calor
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	26				Granos con Carbón
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	29	0,76			Granos Danados
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	37				Granos Panza Blanca
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	40				Granos Picados
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	42	0,36			Granos Quebrados y/o Chuzos
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	52	0,44			Materias Extranas
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	58				Olores Comercialmente Objetables
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	60				Otro Tipo
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	61	75,35			Peso Hectolítrico
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	65	8,3		7,8	Proteína
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	66				Punta Negra por Carbón
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	67				Punta Sombreada por Tierra
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	70				Revolcado en Tierra
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	74				Total Danados
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	75				Trébol de Olor
1	106075	0001 00106075	18/12/2015	1728	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	92,2			1	106075	84	2			Aptitud Panadera
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	3				Brotados
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	4				Calcinados
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	21				Gluten Humedo
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	24				Granos Ardidos y Danados por Calor
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	26				Granos con Carbón
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	29	1,15			Granos Danados
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	37				Granos Panza Blanca
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	40				Granos Picados
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	42	0,73			Granos Quebrados y/o Chuzos
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	52	0,66			Materias Extranas
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	58				Olores Comercialmente Objetables
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	60				Otro Tipo
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	61	81,36			Peso Hectolítrico
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	65	8,3		7,8	Proteína
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	66				Punta Negra por Carbón
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	67				Punta Sombreada por Tierra
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	70				Revolcado en Tierra
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	74				Total Danados
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	75				Trébol de Olor
1	106076	0001 00106076	18/12/2015	1724	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		2	92,2			1	106076	84	2			Aptitud Panadera
1	106077	0001 00106077	18/12/2015	1719	523		LOS ALMENDROS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,65	156		1	106077	3				Brotados
